"APC" "KRAS" "TP53" "PIK3CA" "Exist"
"146" 0.053941908713693 0.00760719225449516 0.0110650069156293 0.0318118948824343 1
"147" 0.0984354628422424 0.00521512385919166 0.00521512385919165 0.0189048239895697 1
"148" 0.0974967061923584 0 0.00461133069828722 0.0296442687747035 1
"149" 0 0 0 0 0
"150" 0.385245901639345 0 0.0491803278688525 0 1
"151" 0.0409511228533686 0 0.00330250990752972 0.00330250990752972 1
"152" 0.016304347826087 0.000543478260869565 0.00380434782608696 0.0119565217391304 1
"153" 0.0480225988700565 0.000564971751412429 0.00225988700564972 0.015819209039548 1
"154" 0.053941908713693 0.00760719225449516 0.0110650069156293 0.0318118948824343 1
"155" 0 0 0 0 0
"156" 0 0 0 0 0
"157" 0 0 0 0 0
"158" 0.735294117647059 0 0 0 1
"159" 0 0 0 0 0
"160" 0.211538461538461 0 0 0 1
"161" 0 0 0 0 0
"162" 0.0290360046457607 0.00232288037166086 0.00522648083623693 0.0174216027874564 1
"163" 0.0308422301304864 0.00711743772241993 0.000593119810201661 0.00830367734282324 1
"164" 0.0355450236966824 0 0.00177725118483412 0.0023696682464455 1
"165" 0.176136363636364 0.00946969696969697 0.0132575757575757 0.0321969696969697 1
"166" 0.0196629213483146 0 0.00337078651685393 0.0230337078651685 1
"167" 0 0 0 0 0
"168" 0.5 0 0 0 1
"169" 0 0 0 0 0
"170" 0.0335195530726257 0.00335195530726257 0.00391061452513967 0.0201117318435754 1
"171" 0.0337690631808279 0.00108932461873638 0.00435729847494553 0.0147058823529412 1
"172" 0.111553784860558 0 0.0159362549800797 0.0507968127490039 1
"173" 0.0462962962962963 0 0 0 1
"174" 0.0768211920529801 0.019205298013245 0.00728476821192053 0.00132450331125828 1
"175" 0 0 0 0 0
"176" 0.0246575342465754 0.00616438356164384 0.00753424657534247 0.0116438356164384 1
"177" 0.0073529411764706 0.00334224598930481 0.00868983957219251 0.0133689839572193 1
"178" 0 0 0 0 0
"179" 0.114003590664273 0.000897666068222621 0.00628366247755835 0.0439856373429084 1
"180" 0.153374233128834 0 0.00306748466257669 0.0184049079754601 1
"181" 0 0 0 0 0
"182" 0 0 0 0 0
